,award,awarding organization,Country,colloquial,year,notes,|,Unnamed: 7
0,AA,Hollywood Academy of Motion Picture Arts and Sciences,USA,Oscar,|,,,
1,AAN,Hollywood Academy of Motion Picture Arts and Sciences,USA,Oscar nomination,|,,,
2,AFI Lifetime,American Film Institute,USA,annual awards since 1973,|,,,
3,AFI77,American Film Institute,USA,Best movies poll 1977,|,,,
4,Baer,Berlinale,F.R.Germany,"Berliner Baer(-Gold,Silver,Bronze)",1951,[24],|,
5,BFA,British Film Academy,Great Britain,Stella,|,,,
6,CC,"Siena Research Institute, for the Centennial Committee of the Hollywood Chamber of Commerce, with Siena College, Loudonville NY",USA,,1987,|,,
7,Crystal Heart,Heartland Film Festival,,<1991,|,,,
8,Delluc,,France,,,,,|
9,Emmy,TV Acdemy,USA,Emmy,|,,,
10,Fnn,Entertainment Weekly,USA,[25],|,,,
11,Felix,European Film Festival,Europe,1988,|,,,
12,Genie,Canadian Academy,Canada,<1991,|,,,
13,H****,Halliwell's Film Guide,Great Britain,four stars,1983,|,,
14,H***,Halliwell's Film Guide,Great Britain,three stars,1983,|,,
15,H**,Halliwell's Film Guide,Great Britain,two stars,1983,|,,
16,H*,Halliwell's Film Guide,Great Britain,one star,1983,|,,
17,H,Halliwell's Film Guide,Great Britain,cited,1983,|,,
18,Hersholt,Academy,USA,humanitarian,1983?,|,,
19,JE,John Eastman: 500 Retakes,USA,,1985,|,,
20,LAA,American Film Institute,USA,Life Achievement Award,|,,,
21,MMA,Museum of Modern Art,USA,Film Festival,|,,,
22,NBR,National Board of Reviews,USA,|,,,,
23,NFR,National Film Registry,USA,Library of Congress,since 1992,Nt(Public Law 102-307) Nt(100 films as of 1992),|,
24,NYFCC,New York Film Critics Circle,USA,|,,,,
25,NSFC,National Society of Film Critics,USA,,since 1965|,,,
26,RFP,Cinema Trade Benevolent Organization,\GB,Royal Film Performance,since 1946,|,,
27,Palm,Cannes Film Festival,France AD,Golden Palm,|,,,
28,SFIFF,San Francisco International Film Festival,USA,|,,,,
29,TMA,Hollywood Academy of Motion Picture Arts and Sciences,USA,Thalberg Memorial Award,|,,,
30,Tony,,USA,Tony,Nt(TV),|,,
31,T90,Time Magazine,USA,Movies of the dcecade,|,,,
32,VFF,Venice Film Festival,Italy,Venice|,,,,
33,WAMPAS,Western Association of Motion Picture Advertisers,USA,WAMPAS,promising actress 1922-1934,|,,
34,Z*,Fred Zinneman,book,Z* [x]|,,,,
