,Dir Rank,Movie,actor,type,role,aw
0,AaB10,A Private Function,Michael Palin,\Und,podiatrist,|
1,AaB10,A Private Function,Maggie Smith,\Und,ambitious wife,BFA
2,AaB10,A Private Function,Denholm Elliott,\Und,und,BFA
3,AaB10,A Private Function,Richard Griffiths,\Und,und,|
4,AaB10,A Private Function,Tony Haygarth,\Und,und,|
5,AaB10,A Private Function,Liz Smith,\Und,und,BFA
6,AaB10,A Private Function,John Normington,\Und,und,|
7,AaB10,A Private Function,s a,\Ani,"fattened, unlicensed pig",|
8,AAl6,The Four Seasons,Alan Alda,\Und,husband 1,|
9,AAl6,The Four Seasons,Carol Burnett,\Und,wife 1,|
10,AAl6,The Four Seasons,Len Cariou,\Und,husband 2,|
11,AAl6,The Four Seasons,Sandy Dennis,\Und,wife 2,|
12,AAl6,The Four Seasons,Rita Moreno,\Und,und,|
13,AAl6,The Four Seasons,Jack Weston,\Und,husband 3,|
14,AAl6,The Four Seasons,Bess Armstrong,\Und,wife 3,|
15,AAl10,Sweet Liberty,Alan Alda,\Her,"professor, author",|
16,AAl10,Sweet Liberty,Michael Caine,\Vil,conceited movie star,|
17,AAl10,Sweet Liberty,Michelle Pfeiffer,\Sav,sympathetic movie star,|
18,AAl10,Sweet Liberty,Bob Hoskins,\Sav,"cynical screenwriter, helpful",|
19,AAl10,Sweet Liberty,Lise Hilboldt,\Lov,"professor, has fling",|
20,AAl10,Sweet Liberty,Lillian Gish,\Und,mother,|
21,AAl10,Sweet Liberty,Saul Rubinek,\Und,cold director,|
22,AAl10,Sweet Liberty,Lois Chiles,\Und,actor's suspicious wife,|
23,AAl20,Betsy's Wedding,Molly Ringwald,\Und,"bride ""Betsy""",|
24,AAl20,Betsy's Wedding,Alan Alda,\Und,"down-on-his-luck contractor, father of the bride",|
25,AAl20,Betsy's Wedding,Joey Bishop,\Und,grandfather of the bride,|
26,AAl20,Betsy's Wedding,Madeleine Kahn,\Und,once-radical mother of the bride,|
27,AAl20,Betsy's Wedding,Ally Sheedy,\Und,"sister of the bride, intelligent cop ""Connie""",|
28,AAl20,Betsy's Wedding,Anthony LaPaglia,\Und,"Mafia businessman, loves Connie",|
29,AAl20,Betsy's Wedding,Julie Bovassa,\Und,grandmother of the bride,|
30,AAl20,Betsy's Wedding,Joe Pesci,\Und,sleazy uncle,|
31,AAl20,Betsy's Wedding,Catherine OHara,\Und,aunt,|
32,AAl20,Betsy's Wedding,Dylan Walsh,\Und,bridegroom,|
33,AAl20,Betsy's Wedding,Burt Young,\Und,und,|
34,AAn10,Gas Food Lodging,Brooke Adams,\Und,single mother,|
35,AAn10,Gas Food Lodging,Ione Skye,\Und,rebellious daughter,|
36,AAn10,Gas Food Lodging,Faraizu Baik,\Und,"younger, dreamy daughter, narrates",|
37,AAn10,Gas Food Lodging,Donovan Leitch,\Und,cable TV installer,|
38,AAn12,Mi Vida Loca,Angel Avilea,\Und,und,|
39,AAn12,Mi Vida Loca,Seidy Lopez,\Und,und,|
40,AAn12,Mi Vida Loca,Jacob Vargas,\Und,und,|
41,AAr10,Rock 'N Roll High School,P.J. Sales,\Und,leader,|
42,AAr10,Rock 'N Roll High School,Vincent VanPatten,\Und,und,|
43,AAr10,Rock 'N Roll High School,Clint Howard,\Und,und,|
44,AAr10,Rock 'N Roll High School,The Ramones,\Und,rock band,|
45,AAr10,Rock 'N Roll High School,Paul Bartel,\Und,und,|
46,AAr10,Rock 'N Roll High School,Alix Elias,\Und,und,|
47,AAr20,Heartbeeps,Andy Kaufman,\Und,amorous robot,|
48,AAr20,Heartbeeps,Bernadette Peters,\Und,amorous robot,|
49,AAr20,Heartbeeps,Randy Quaid,\Und,und,|
50,AAr20,Heartbeeps,Melanie Mayron,\Und,und,|
51,AAt10,A Place in the World,Gaston Batyi,\Und,"young man, returns home",|
52,AAt10,A Place in the World,Jose Sacristan,\Und,und,|
53,AAt10,A Place in the World,Frederico Luppi,\Und,und,|
54,AAt10,A Place in the World,Cecilia Roth,\Und,RZ:first love,|
55,AAt10,A Place in the World,Leonor Benedetto,\Und,und,|
56,AB2,Thais,Thais Galizky,\Und,und,|
57,AbA10,Il processo Clemenceau,Francesca Bertini,\Und,und,|
58,AbA10,Il processo Clemenceau,Gustavo Serena,\Und,und,|
59,AbA10,Il processo Clemenceau,Alfredo DeAntoni,\Und,und,|
60,AbA10,Il processo Clemenceau,Lido Manetti,\Und,und,|
61,AbA10,Il processo Clemenceau,Nella Montagna,\Und,und,|
62,AbA10,Il processo Clemenceau,Vittorio DeSica,\Und,und,|
63,ABd4,I Bury the Living,Richard Boone,\Und,und,|
64,ABd4,I Bury the Living,Theodore Bikel,\Und,und,|
65,ABe10,Ma Vie En Rose,Georges duFresne,\Und,"little boy, thinks he's a girl",|
66,AbF10,Ms.~45,Zoe Tamerlis,\Und,"mute, raped twice, revenges",|
67,AbF10,Ms.~45,Steve Singer,\Und,und,|
68,AbF10,Ms.~45,Jack Thibeau,\Und,und,|
69,AbF10,Ms.~45,Peter Yellen,\Und,und,|
70,AbF20,King of New York,Christopher Walken,\Und,drug lord,|
71,AbF25,Bad Luitenant,Harvey Keitel,\Und,cop gone awry,|
72,AbF25,Bad Luitenant,Zoe Lund,\Und,junkie girlfriend,|
73,AbF25,Bad Luitenant,Frankie Thorn,\Und,raped nun,|
74,AbF26,Dangerous Game,Madonna,\Und,star,|
75,AbF26,Dangerous Game,Harvey Keitel,\Und,"director, confused",|
76,AbF26,Dangerous Game,James Russo,\Und,und,|
77,AbF27,Body Snatchers,Gabrielle Anwar,\Und,"petulant teenager, attacked in sleep ""Marti Malone""",|
78,AbF27,Body Snatchers,Terry Kinney,\Und,father,|
79,AbF27,Body Snatchers,Meg Tilly,\Und,seductive stepmother,|
80,AbF27,Body Snatchers,Reilly Murphy,\Und,Marti's son,|
81,ABi10,Burning Secret,Faye Dunaway,\Lov,diplomat's wife,|
82,ABi10,Burning Secret,Klaus Maria Brandauer,\Und,romantic wounded baron,|
83,ABi10,Burning Secret,David Ebbets,\Und,asthmatic son,|
84,ABi10,Burning Secret,Ian Richardson,\Und,aging diplomat,|
85,ABi10,Burning Secret,John Nettleton,\Sci,doctor,|
86,ABi10,Burning Secret,N. Ottering,\Und,concierge,|
87,ABi20,The Cement Garden,Andrew Robertson,\Und,"miserable teenager, loves older sister ""Jack""",|
88,ABi20,The Cement Garden,Sinead Cusack,\Und,ailing mother,|
89,ABi20,The Cement Garden,Charlotte Gainsbourg,\Und,incestuous older sister,|
90,ABl10,Too Bad She's Bad,Sophia Loren,\Und,freeliving daughter,|
91,ABl10,Too Bad She's Bad,Vittorio deSica,\Und,accomplished pickpocket father,|
92,ABl10,Too Bad She's Bad,Marcello Mastroianni,\Und,und,|
93,ABo10,And God Spoke,Michael Riley,\Und,"unlucky director ""Clive Walton""",|
