,Title,Year,Director,Production,Studio,Genre,Award
0,Rebecca,1940,Hitchcock,Selznick,"Selznick, SD:U.A.",Drama,"AA, AAN dir, H****"
1,Foreign Correspondent,1940,Hitchcock,Wanger,U.A.,Suspense,"H****, AAN"
2,Mr.~and Mrs.~Smith,1941,Hitchcock,Eddington,RKO,Romantic,
3,Suspicion,1941,Hitchcock,"Raphaelson, Hitchcock",RKO,Suspense,
4,Saboteur,1942,Hitchcock,"F.Lloyd, Skirball",Universal,Suspense,H***
5,Shadow of a Doubt,1943,Hitchcock,Skirball,Universal,Suspense,
6,Lifeboat,1943,Hitchcock,MacGowan,Fox,Suspense,"H**, AAN dir"
7,Spellbound,1945,Hitchcock,Selznick,"Selznick, SD:U.A.",Suspense,"H**, AAN, AAN dir"
8,Notorious,1946,Hitchcock,Hitchcock,RKO,Suspense,H***
9,The Paradine Case,1947,Hitchcock,Selznick,"Selznick, SD:U.A.",Suspense,H**
10,Rope,1948,Hitchcock,"Bernstein, Hitchcock","Transatlantic, SD:Warners",Suspense,H**
11,Under Capricorn,1949,Hitchcock,"Bernstein, Hitchcock","Transatlantic, MGM British, SD:Warners",Drama,
12,Stage Fright,1950,Hitchcock,"Hitchcock, Ahern","Elstree, SD:Warners, SL:(\Ge, \GB)",Suspense,
13,Strangers on a Train,1951,Hitchcock,Hitchcock,Warners,Suspense,H***
14,I Confess,1952,Hitchcock,Hitchcock,Warners,Suspense,
15,Dial M for Murder,1954,Hitchcock,Hitchcock,Warners,Suspense,H**
16,Rear Window,1954,Hitchcock,Hitchcock,Paramount,Suspense,"H***, AAN dir"
17,To Catch a Thief,1955,Hitchcock,Hitchcock,Paramount,Suspense,aw
18,The Trouble with Harry,1956,Hitchcock,Hitchcock,Paramount,Suspense,
19,The Man Who Knew Too Much,1956,Hitchcock,Hitchcock,Paramount,Suspense,H*
20,The Wrong Man,1957,Hitchcock,Hitchcock,Warners,"Suspense,Documentary",
21,Vertigo,1958,Hitchcock,"Hitchcock, Robert Coleman",Paramount,Suspense,H**
22,North by Northwest,1959,Hitchcock,Hitchcock,MGM,Suspense,H****
23,Psycho,1960,Hitchcock,Hitchcock,"Shamley, Universal, SD:Paramount",Suspense,"AAN Dir, NFR, Z*"
24,The Birds,1963,Hitchcock,Hitchcock,Universal,Suspense,H***
25,Marnie,1964,Hitchcock,Hitchcock,Universal,Suspense,
26,Torn Curtain,1966,Hitchcock,Hitchcock,Universal,Suspense,H**
27,Topaz,1969,Hitchcock,Hitchcock,Universal,Suspense,H*
28,Frenzy,1972,Hitchcock,Hitchcock,Pinewood,Suspense,H*
29,Family Plot,1976,Hitchcock,Hitchcock,Universal,Suspense,
30,Aventure Malgache,1944,Hitchcock,PN:Ministry of Inf.,Elstree,Advt,
31,Bon Voyage,1944,Hitchcock,PN:Ministry of Inf.,Elstree,Advt,
32,Revenge,1955,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
